CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2022,7,82077010,10,23,SC,4,817600,9,9,5548,264,2
2022,7,85444200,10,160,SP,1,927700,87793,87793,142944,40289,0
2022,8,85312000,11,160,RS,4,817600,23178,749,96543,13701,99
2022,1,82159910,10,160,SC,1,927800,82848,82848,145366,66056,85
2022,4,62024000,11,160,SC,1,927800,562551,319725,3845788,432034,2692
2022,3,84145990,11,249,SP,1,817800,583,3716,103049,4232,107
2022,10,40169300,10,23,SP,4,817600,1988,1988,240031,29478,149
2022,1,85371020,11,820,SP,4,817600,202,504,48506,7845,27
2022,12,84439939,10,160,ES,1,817800,2737,2737,219769,4552,122
2022,9,59113200,10,271,MG,4,817700,1808,1808,57798,28423,63
2022,6,85444200,10,160,GO,1,817800,1985,1985,66738,3662,0
2022,9,85071010,11,72,RJ,4,717700,2,1,298,460,0
2022,8,90299010,10,399,SP,1,817800,469,469,4800,318,1
2022,2,85122011,11,493,RJ,4,717700,1,6,146,39,0
2022,11,70181090,10,160,RS,4,1017801,23,23,3369,442,30
2022,12,85234990,11,23,CE,4,317901,2,2,6396,252,2
2022,7,84133030,11,628,RJ,4,717700,4,58,12668,881,0
2022,4,73181600,10,365,SP,1,817800,16678,16678,7792,10183,4
2022,4,84819090,10,386,RJ,4,717700,357,357,27736,3500,25
2022,10,73181500,10,149,PR,1,917800,113,113,1100,60,0
2022,7,84239010,10,275,SP,4,817700,1,1,83,6,0
2022,7,60011090,10,160,PE,1,817800,4625,4625,23334,7447,0
2022,6,85437099,11,161,GO,4,817700,5,4,904,66,2
2022,10,84433191,11,160,RO,1,717600,96,103,422,64,0
2022,8,40169300,10,275,RJ,4,717700,123,123,64576,10695,6
2022,9,84831090,11,69,RJ,4,717700,3,63,1938,814,0
2022,10,84212300,11,249,RJ,4,717700,106,141,9428,2013,9
2022,10,73182900,10,399,SC,1,927800,540,540,4490,578,1
2022,11,73064000,10,493,MG,1,817800,3797,3797,86826,2875,0
2022,8,84149033,11,603,SP,1,817800,16,67,860,32,0
2022,4,84642090,11,160,PR,1,917800,70,4200,37348,6914,125
2022,10,84149020,10,791,RS,1,817800,7,7,621,2,0
2022,12,84213100,11,160,SP,1,817800,36175,12664,136370,19684,136
2022,9,90269090,10,23,SP,1,817800,270,270,20966,191,8
2022,6,84669490,10,361,SC,4,817600,28,28,2637,509,0
2022,6,85051910,10,23,SP,4,817700,18,18,679,122,1
2022,9,32081020,10,628,PR,1,917800,20,20,318,2,1
2022,8,84836090,11,160,SP,1,817800,192619,62611,392428,20670,479
2022,12,85369010,11,628,PE,4,417901,3,11,2238,269,1
2022,7,29152100,10,249,SP,1,817800,2944281,2944281,2006921,309769,510
2022,2,84439932,10,160,SP,4,817700,857,857,17700,5856,6
2022,4,90189069,11,399,SP,4,817600,50,43,6250,1994,0
2022,7,73079200,10,386,MG,1,817800,427,427,6694,165,3
2022,11,39081024,10,573,RS,1,1017700,73975,73975,307555,18162,716
2022,7,70191900,10,249,RJ,4,717700,5,5,596,86,1
2022,5,84369900,10,149,SP,1,817800,1397,1397,19719,835,82
2022,4,84812090,11,249,SP,1,817800,8214,28251,1255325,10840,1286
2022,11,84099917,11,63,SP,7,1017500,22615,1213,24534,335,29
2022,12,40169300,10,23,SP,7,817700,11,11,1717,5,1
2022,7,85044029,11,161,SC,1,927800,58,22,2242,22,0
2022,8,73269090,10,249,SP,1,817800,68703,68703,1175867,27386,955
2022,6,90173090,11,249,SP,4,817700,35,16,10398,547,48
2022,10,84717010,11,776,ES,1,817800,4528,1724,322028,1230,1226
2022,2,73181500,10,23,RJ,4,817600,0,0,195,22,0
2022,2,39039090,10,573,BA,1,517800,18000,18000,44043,4473,5
2022,11,76071990,10,160,MG,1,817800,211601,211601,817085,69629,1570
2022,11,85452000,10,628,RN,1,817800,3,3,1667,1,0
2022,11,84779000,10,275,RJ,4,717700,3751,3751,392061,18534,132
2022,3,96170010,10,160,SC,1,927800,57958,57958,567615,65771,865
2022,5,39269090,10,245,SP,1,817800,30595,30595,304786,12184,320
2022,7,82084000,10,271,SC,1,927800,217,217,4256,151,4
2022,8,73202090,10,275,SP,1,817800,2052,2052,11678,1018,4
2022,7,84123110,11,23,SP,4,817600,2274,681,93858,8721,100
2022,6,84812090,11,355,PR,1,917800,3983,941,29159,389,3
2022,9,73182900,10,628,RJ,1,817800,34,34,784,55,0
2022,5,82055900,10,249,SP,4,817700,1161,1161,105940,10987,60
2022,4,85443000,10,160,PR,1,917800,5248,5248,91375,4659,274
2022,9,84836019,11,23,SC,4,817600,6,15,863,181,1
2022,7,28332990,10,160,SP,1,927502,3724150,3724150,2787331,525967,3072
2022,9,87081000,11,247,SP,4,817600,3,9,309,68,0
2022,2,28273996,10,249,SP,4,817600,0,0,104,6,0
2022,9,85332190,11,386,MG,4,817700,300,5,57,43,0
2022,1,85123000,11,249,PE,1,417902,1728,432,6102,124,2
2022,5,85176277,11,23,PR,4,917900,6,10,2043,93,0
2022,9,84559000,10,386,ES,4,817600,450,450,7820,1646,6
2022,5,39072939,10,169,PE,1,417902,278460,278460,682648,16524,398
2022,7,73269090,10,160,PR,1,917800,110204,110204,239176,45658,315
2022,2,90271000,11,23,SP,4,817700,3050,1062,252170,10648,94
2022,11,38249939,10,245,ES,1,717600,6340,6340,34774,448,13
2022,9,19059090,10,603,SC,1,927800,259,259,2750,49,0
2022,10,84719019,11,160,SC,4,817700,163,19,5514,480,1
2022,11,73064000,10,23,SP,4,817600,25,25,260,493,0
2022,12,40169990,10,361,MG,4,617700,1,1,55,6,0
2022,4,39235000,10,399,SP,4,817600,2,2,383,51,1
2022,4,84122110,11,275,SP,4,817600,65,124,216213,1760,117
2022,10,29094310,10,53,SP,1,817800,917748,917748,1866483,413003,0
2022,3,85369010,11,111,SP,4,817700,18,2,596,8,1
2022,3,84833029,11,386,SP,4,817700,1367,26,14576,343,4
2022,4,84835010,11,764,SP,1,817800,62,85,2134,30,0
2022,10,38123100,10,160,SP,1,817800,59000,59000,127567,22720,254
2022,6,48211000,10,249,SP,4,817700,695,695,39627,7842,1
2022,10,30064011,10,249,SP,4,817700,58,58,13003,391,2
2022,2,84219199,10,161,SP,4,817700,0,0,18,0,0
