CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2022,1,85334011,11,589,RS,4,817700,800,16,1914
2022,8,39221000,10,845,SC,7,1017701,859,859,3585
2022,3,85011019,11,63,SP,7,1017500,728,558,16090
2022,11,71132000,10,628,RS,4,817700,0,0,1209
2022,9,73079200,10,40,ES,4,817600,368,368,2267
2022,5,90328982,11,589,RS,4,817600,2373,677,40605
2022,4,84842000,10,160,RJ,4,817700,0,0,14793
2022,10,87085080,11,521,SP,1,817800,2,0,112
2022,12,29362890,10,249,SP,4,817700,1364,1364,71869
2022,2,4051000,10,476,RJ,1,710251,25,25,140
2022,11,84679900,10,158,SP,7,1017500,8,8,487
2022,8,87169090,10,97,SP,7,147600,9577,9577,40754
2022,10,87085099,10,493,RJ,1,717600,7,7,176
2022,6,23040090,21,190,RS,1,1017700,65150,65150000,31752089
2022,9,39081023,10,399,SP,1,817800,725,725,1572
2022,1,85364100,11,158,SP,7,1017500,1431,128,3591
2022,12,87089482,11,756,SP,4,817600,9,141,2475
2022,6,84136019,11,589,SP,1,817800,262,1252,19024
2022,6,20011000,10,301,AL,1,517800,8,8,52
2022,3,8039000,10,163,PA,1,217800,140,140,167
2022,8,82079000,10,169,SP,4,817600,55,55,6444
2022,11,85332900,11,687,MG,4,817700,1,0,11
2022,3,59113200,10,63,SC,7,917500,1426,1426,200555
2022,7,56022100,10,196,RS,1,927800,0,0,154
2022,12,64029990,13,249,RS,4,817700,1800,822,24619
2022,10,94012000,11,63,SP,7,1017504,32,936,6722
2022,2,85362000,11,169,SC,1,927800,16339,3747,66260
2022,8,90318099,11,97,AC,7,230155,24,6,227
2022,5,2032900,10,741,RS,1,927800,1368730,1368730,3460961
2022,7,34025000,10,467,SP,1,817800,815,815,851
2022,3,87089100,11,63,PR,7,1017500,672,4855,56853
2022,10,32091010,10,756,SP,1,817800,78046,78046,57959
2022,2,84219910,10,63,SP,7,1017500,27,27,961
2022,12,68043000,10,589,SP,1,817800,62,62,443
2022,6,85176277,11,351,AM,1,227600,23250,7,3734
2022,6,44071100,16,249,RS,1,927800,4596,2224891,1489610
2022,12,40169300,10,97,MG,7,147600,0,0,424
2022,4,85389010,11,158,SP,4,817700,9,91,4864
2022,6,7061000,10,137,SP,1,817800,55,55,113
2022,5,38249931,10,589,RS,1,1017700,86,86,694
2022,1,17019900,21,845,SP,7,1010253,701,698400,296447
2022,9,44170090,11,573,RO,1,227600,31850,24163,53555
2022,5,84186940,11,580,SP,1,817800,39,1774,45394
2022,9,56074900,10,845,RS,7,1010252,7,7,165
2022,6,84073490,11,169,SP,1,817800,2,165,1401
2022,12,84829190,10,169,SP,4,817600,20,0,8256
2022,11,90221319,11,63,SP,7,1017500,98,4749,87235
2022,5,94039100,10,149,RS,4,817600,2136,2136,14207
2022,9,40103100,10,239,SP,1,817800,249,249,13352
2022,12,90211010,10,169,SP,4,817700,70,70,26830
2022,10,90328982,11,249,RS,4,817700,5344,420,226332
2022,10,84244100,11,337,RS,1,927800,462,1003,9111
2022,5,85079090,10,827,PR,4,817600,213,213,14607
2022,1,90318099,11,249,SP,4,817600,31,84,7860
2022,4,94036000,11,647,RS,1,927800,414,15895,167987
2022,9,40021919,10,845,SC,7,1017701,12000,12000,44280
2022,12,96089989,10,476,SP,1,1017700,36,36,103
2022,8,33021000,10,493,SC,1,817800,714,714,3491
2022,6,17019900,21,160,ES,1,727600,0,46,58
2022,7,19021100,10,580,RS,1,1017700,91,91,204
2022,11,20081100,10,80,SP,1,817800,5,5,28
2022,6,70134900,10,196,SP,1,817800,20013,20013,34165
2022,11,73181900,10,249,SP,1,817800,29043,29043,300390
2022,6,83100000,10,275,SP,4,817600,0,0,1140
2022,8,17049090,10,97,SP,7,147600,17043,17043,16672
2022,5,90192020,10,90,SP,1,817800,0,0,34
2022,9,87088000,11,87,SP,1,817800,548,1549,14999
2022,5,48139000,10,249,RS,4,817600,23979,23979,1357165
2022,4,84136090,11,845,SP,7,1010351,1,36,792
2022,9,84842000,10,97,SP,7,147600,63,63,19965
2022,10,7031019,10,476,RS,1,1017700,190,190,232
2022,7,84136019,11,169,RS,1,817800,3,7,940
2022,12,63011000,11,580,RS,1,1017700,3,1,18
2022,5,17049010,10,158,SP,7,917500,842,842,2795
2022,12,5040090,10,351,MT,1,917800,666691,666691,1208826
2022,3,95069900,11,845,MG,7,1017701,40,18,397
2022,7,7061000,10,160,BA,1,517800,40,40,42
2022,12,8045020,10,245,BA,4,817600,45968,45968,55460
2022,9,73181600,10,158,SC,4,817600,324,324,2326
2022,6,61082100,11,628,SP,4,817700,11,5,74
2022,4,48181000,10,586,PR,7,917500,333568,333568,461000
2022,10,84212100,11,169,PR,4,817600,90,37,1231
2022,10,84818099,11,589,SP,4,817700,1866,160,24103
2022,4,42022900,11,586,SC,7,917500,27,5,271
2022,5,87089990,10,160,RS,4,817600,23,206,1635
2022,12,17019900,21,229,SP,1,817800,1748,1748000,858585
2022,4,21039091,10,580,MA,1,317903,54,54,398
2022,1,8072000,10,434,ES,1,727600,53,53,59
2022,8,7070000,10,741,MA,1,317903,149,154,151
2022,10,39172900,10,158,RS,7,1017500,55,55,703
